==1241== NVPROF is profiling process 1241, command: ./StencilCudaGpu37 200 200 200 8 5
==1241== Profiling application: ./StencilCudaGpu37 200 200 200 8 5
==1241== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
141445080.000000,2965.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
141449775.000000,210,,,,,,,,,,,,,,,"cuDeviceGetCount"
141450523.000000,272,,,,,,,,,,,,,,,"cuDeviceGet"
141451163.000000,250,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141478982.000000,268,,,,,,,,,,,,,,,"cuDeviceGet"
141479447.000000,171,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141480005.000000,158,,,,,,,,,,,,,,,"cuDeviceGet"
141480315.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141480697.000000,154,,,,,,,,,,,,,,,"cuDeviceGet"
141481003.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141696251.000000,502,,,,,,,,,,,,,,,"cuDeviceGet"
141698417.000000,256,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141710003.000000,238,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141710598.000000,186,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142102243.000000,490,,,,,,,,,,,,,,,"cuDeviceGet"
142103044.000000,206,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142103530.000000,174,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142103975.000000,184,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142735475.000000,2305.000000,,,,,,,,,,,,,,,"cuDeviceGet"
142738495.000000,586,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142756824.000000,341,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142757857.000000,289,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143287612.000000,574,,,,,,,,,,,,,,,"cuDeviceGet"
143288485.000000,238,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143289225.000000,196,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143289719.000000,208,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144107250.000000,1923.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
144110416.000000,567,,,,,,,,,,,,,,,"cuDeviceGet"
144117706.000000,84690.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
144204236.000000,401611.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
144607193.000000,807,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144608500.000000,550,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144609550.000000,503,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144610507.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144611460.000000,420,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144612363.000000,70714.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144684190.000000,610,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144685303.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144686223.000000,600,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144687297.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144688247.000000,4506.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144693417.000000,620,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144694513.000000,554,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144695547.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144696443.000000,457,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144697363.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144698280.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144699200.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144700097.000000,563,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144701117.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144702043.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144702943.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144703850.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144704780.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144705670.000000,630,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144706780.000000,467,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144707707.000000,583,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144708760.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144709707.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144710613.000000,570,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144711687.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144712593.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144713513.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144714407.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144715327.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144716240.000000,557,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144717270.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144718170.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144719047.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144719987.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144720894.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144721807.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144722724.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144723630.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144724550.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144725500.000000,490,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144726467.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144727410.000000,467,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144728374.000000,420,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144729267.000000,463,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144730204.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144731130.000000,454,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144732057.000000,460,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144732990.000000,454,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144733910.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144734854.000000,353457.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145089714.000000,627,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145090834.000000,523,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145091841.000000,476,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145092787.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145093707.000000,507,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145094691.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145095617.000000,544,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145096634.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145097547.000000,424,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145098454.000000,423,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145099361.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145100271.000000,690,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145101441.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145102357.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145103264.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145104177.000000,487,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145105117.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145106057.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145107037.000000,497,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145108007.000000,336494.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145445758.000000,560,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145446798.000000,496,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145447764.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145448668.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
145449571.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
