Server_Name,NumOfSocket,CPU_Type,CPU_Clock(GHz),CPU_Cores,CPU_Threads,CPU_Mem(GB),CPU_L3_Cache(MB),GPU_Type,GPU_Clock(GHz),NumOfSM,SP/SM,GPU_Mem(GB),GPU_L2_Cache(MB),CC,NumOfCE,PCIe,Total_Workload,Initial_GPU_Workload,CPU/GPU_Workload_Ratio,Exe_Time
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,1000,0.5,4491742704
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,1000,1,4456592127
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,1000,1.5,4456996219
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,1000,2,4499787811
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,2000,0.5,4755108434
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,2000,1,4738232419
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,2000,1.5,4715782300
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,2000,2,3565713217
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,4000,0.5,4487683728
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,4000,1,4467211604
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,4000,1.5,4469002503
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,4000,2,4467163566
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,8000,0.5,7100780318
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,8000,1,7086843087
