Server_Name,NumOfSocket,CPU_Type,CPU_Clock(GHz),CPU_Cores,CPU_Threads,CPU_Mem(GB),CPU_L3_Cache(MB),GPU_Type,GPU_Clock(GHz),NumOfSM,SP/SM,GPU_Mem(GB),Available_GPU_Mem(GB),GPU_L2_Cache(MB),CC,NumOfCE,PCIe,Total_Workload,nthreads,Initial_GPU_Workload,CPU/GPU_Workload_Ratio,Exe_Time
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,1000,0.5,3521975680.33
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,1000,1,3276825026.83
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,1000,1.5,3727019379.67
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,1000,2,3671989939.00
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,2000,0.5,3299956782.67
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,2000,1,3504489962.17
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,2000,1.5,3507477144.17
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,2000,2,4007752347.33
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,3000,0.5,3216752838.17
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,3000,1,3534268823.83
fatnode,2,Intel,2.6,16,32,64,20,K20,0.71,13,192,4.8,2,1.25,3.5,2,6.2,17000,4,3000,1.5,3634888141.50
