#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,1,1.21289229686135,0.523005630443532,1.77467045625014
5,1,1.21289229686135,0.677277407374243,1.77332245004489
6,1,1.21289229686135,0.845344490152347,1.84090864625725
7,1,1.21289229686135,1.01299579170589,2.01735250002213
8,1,1.21289229686135,1.18116266081812,2.39238936364199
9,1,1.21289229686135,1.30516642434866,2.78559338960292
10,1,1.21289229686135,1.46408891186224,2.99526570624168
11,1,1.21289229686135,1.62244129612374,3.15228809396896
12,1,1.21289229686135,1.77844740864345,3.41594053309019
13,1,1.21289229686135,1.85810664891098,3.52992692831187
14,1,1.21289229686135,1.99200848175117,3.53932463887485
15,1,1.21289229686135,2.06644816250019,3.53418784852062
16,1,1.21289229686135,2.12993663375762,3.54641385906174
17,1,1.21289229686135,2.26512459225081,3.54388286800611
18,1,1.21289229686135,2.38492529048939,3.53975842685793
19,1,1.21289229686135,2.49339063579131,3.51536190351701
20,1,1.21289229686135,2.63063820619143,3.50265128597935
21,1,1.21289229686135,2.72583228810557,3.4217667664176
22,1,1.21289229686135,2.82650338957783,3.54901574525952
23,1,1.21289229686135,2.93098184221473,3.88956703950058
24,1,1.21289229686135,2.98129838155164,4.39148552974511
25,1,1.21289229686135,3.0825850988028,4.57323871273717
26,1,1.21289229686135,3.14181531510176,4.36433127316539
27,1,1.21289229686135,3.21539370955825,4.25458380209842
28,1,1.21289229686135,3.25469016216006,4.22801236385202
29,1,1.21289229686135,3.35282785914674,4.17315807633514
30,1,1.21289229686135,3.39761343865311,4.13297244752895
31,1,1.21289229686135,3.54914518984181,4.09078479410768
32,1,1.21289229686135,3.6738789700774,4.06386126685005
