#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,2330547050.09,404830564.90,5069617454.39,405432663.94
5,2330547050.09,404830564.90,3918450355.19,405309551.03
6,2330547050.09,404830564.90,3137843857.97,404516921.75
7,2330547050.09,404830564.90,2619288342.89,404644023.22
8,2330547050.09,404830564.90,2245833023.19,405548604.25
9,2330547050.09,404830564.90,2033077334.08,405103760.78
10,2330547050.09,404830564.90,1811617630.39,405155408.42
11,2330547050.09,404830564.90,1629980563.19,405058002.64
12,2330547050.09,404830564.90,1489224674.75,405500210.17
13,2330547050.09,404830564.90,1413801697.00,405187017.78
14,2330547050.09,404830564.90,1309088004.25,404990997.14
15,2330547050.09,404830564.90,1234259507.92,404672985.81
16,2330547050.09,404830564.90,1179251594.56,404935690.03
17,2330547050.09,404830564.90,1116092525.50,404328784.53
18,2330547050.09,404830564.90,1064894509.19,404568905.17
19,2330547050.09,404830564.90,1012989007.92,405104295.81
20,2330547050.09,404830564.90,962331970.50,404936759.64
21,2330547050.09,404830564.90,922238170.47,404555033.94
22,2330547050.09,404830564.90,896027627.72,404430466.08
23,2330547050.09,404830564.90,862726665.75,404617209.33
24,2330547050.09,404830564.90,839841478.83,404762549.75
25,2330547050.09,404830564.90,818849484.97,404436659.72
26,2330547050.09,404830564.90,793430282.53,404847643.67
27,2330547050.09,404830564.90,773142620.17,405012195.33
28,2330547050.09,404830564.90,760895668.92,404386955.67
29,2330547050.09,404830564.90,737811350.44,404202819.56
30,2330547050.09,404830564.90,723284306.86,404862225.56
31,2330547050.09,404830564.90,701279349.00,404486931.97
32,2330547050.09,404830564.90,765223127.44,405588939.33
