#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,454282891.04,77597483.71,639731586.97,78082876.92
5,454282891.04,77597483.71,495256535.86,78132294.50
6,454282891.04,77597483.71,397426693.81,78165381.61
7,454282891.04,77597483.71,345869085.44,78102948.28
8,454282891.04,77597483.71,314008631.14,78067314.92
9,454282891.04,77597483.71,256795332.06,78103239.69
10,454282891.04,77597483.71,232165161.53,78012700.42
11,454282891.04,77597483.71,208291764.25,77930426.11
12,454282891.04,77597483.71,196980495.47,78053056.36
13,454282891.04,77597483.71,181442688.14,78054723.56
14,454282891.04,77597483.71,177063914.69,78030922.44
15,454282891.04,77597483.71,164907569.97,77984270.42
16,454282891.04,77597483.71,249098745.92,78424216.08
17,454282891.04,77597483.71,156401168.39,78017303.56
18,454282891.04,77597483.71,175162572.19,78142438.69
19,454282891.04,77597483.71,192411113.78,78232003.50
20,454282891.04,77597483.71,182380056.22,78176095.14
21,454282891.04,77597483.71,172020543.25,78184498.22
22,454282891.04,77597483.71,166876783.58,78221736.25
23,454282891.04,77597483.71,167673641.61,78342503.17
24,454282891.04,77597483.71,153790029.61,78425358.97
25,454282891.04,77597483.71,157887509.86,78315623.89
26,454282891.04,77597483.71,140742188.33,78339958.83
27,454282891.04,77597483.71,148969145.58,78152245.19
28,454282891.04,77597483.71,132497782.56,78171924.64
29,454282891.04,77597483.71,132840980.72,78269976.36
30,454282891.04,77597483.71,136768767.44,78258676.69
31,454282891.04,77597483.71,131223882.64,78197731.44
32,454282891.04,77597483.71,131905336.83,78241453.08
