#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,30465635635.82,23720745154.56,37697715671.47,13629467572.08
5,30465635635.82,23720745154.56,29160274160.36,12059323347.42
6,30465635635.82,23720745154.56,23389229876.06,10284700790.25
7,30465635635.82,23720745154.56,20376928543.50,10291173323.33
8,30465635635.82,23720745154.56,18626763586.28,9293819294.08
9,30465635635.82,23720745154.56,15151327500.78,7733916034.83
10,30465635635.82,23720745154.56,13599009530.00,6250682536.69
11,30465635635.82,23720745154.56,12333844573.50,6405713351.81
12,30465635635.82,23720745154.56,11387500278.50,6981917404.50
13,30465635635.82,23720745154.56,10645563258.75,7412278855.03
14,30465635635.82,23720745154.56,9958915359.56,7749893161.72
15,30465635635.82,23720745154.56,9450981643.47,7978276308.61
16,30465635635.82,23720745154.56,8681241623.06,8155137429.72
17,30465635635.82,23720745154.56,8822809495.33,8167336644.69
18,30465635635.82,23720745154.56,8867169135.06,8176474583.47
19,30465635635.82,23720745154.56,11208774133.00,8107397537.47
20,30465635635.82,23720745154.56,10686254727.33,8070884678.56
21,30465635635.82,23720745154.56,10330951454.53,8040592716.47
22,30465635635.82,23720745154.56,9957037288.53,8011803322.86
23,30465635635.82,23720745154.56,9722932831.72,7948195473.06
24,30465635635.82,23720745154.56,9524260803.17,7899021015.47
25,30465635635.82,23720745154.56,9231077255.00,7934698561.47
26,30465635635.82,23720745154.56,8793099971.31,7938982031.86
27,30465635635.82,23720745154.56,8595560380.11,8020763269.28
28,30465635635.82,23720745154.56,8396175298.36,8142055456.31
29,30465635635.82,23720745154.56,8292123589.81,8286938625.83
30,30465635635.82,23720745154.56,7883384148.19,8395525997.92
31,30465635635.82,23720745154.56,7700862023.67,8492931637.61
32,30465635635.82,23720745154.56,7460775836.28,8588480748.42
