#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,1,7.54803706897282,0.926490517087932,7.54194828383197
5,1,7.54803706897282,1.20092838128212,7.53798108561686
6,1,7.54803706897282,1.50028000687656,7.53903420718886
7,1,7.54803706897282,1.74738199235555,7.53970256674348
8,1,7.54803706897282,2.03689379955424,7.54003394955226
9,1,7.54803706897282,2.32681054348168,7.53857689505913
10,1,7.54803706897282,2.61212249888869,7.53973400545387
11,1,7.54803706897282,2.89619558945769,7.54349139697536
12,1,7.54803706897282,3.16521811955005,7.54595341010397
13,1,7.54803706897282,3.39541474618335,7.54386377592335
14,1,7.54803706897282,3.53051477409902,7.54433646863342
15,1,7.54803706897282,3.28246958425821,7.54443832151461
16,1,7.54803706897282,3.44246370502879,7.54573592156224
17,1,7.54803706897282,3.67968002902778,7.54342668538835
18,1,7.54803706897282,3.7274695300641,7.53917097037145
19,1,7.54803706897282,3.73083861548439,7.54393393010021
20,1,7.54803706897282,3.71136126084323,7.53994378920563
21,1,7.54803706897282,3.83161398034553,7.53951001753962
22,1,7.54803706897282,3.78326568623222,7.54052567172251
23,1,7.54803706897282,3.82283208846081,7.54598992202241
24,1,7.54803706897282,3.7925128294724,7.54020967439668
25,1,7.54803706897282,3.97074247536995,7.54535439912566
26,1,7.54803706897282,4.14611907543576,7.54545627826476
27,1,7.54803706897282,4.09244770030145,7.54100845796201
28,1,7.54803706897282,4.17199808217096,7.5384892322015
29,1,7.54803706897282,4.12627881245829,7.53978596447549
30,1,7.54803706897282,4.28808397194528,7.54505402689559
31,1,7.54803706897282,4.27926935589474,7.5398078374737
32,1,7.54803706897282,4.28765205207795,7.54747269840839
33,1,7.54803706897282,4.37482138900424,7.53853727505651
34,1,7.54803706897282,4.34494315513558,7.54688643071135
35,1,7.54803706897282,4.34390143498649,7.54814030515396
36,1,7.54803706897282,4.3721720902214,7.54505719385401
37,1,7.54803706897282,4.49435427565959,7.53952836612683
38,1,7.54803706897282,4.2614470753268,7.54528902228579
39,1,7.54803706897282,4.57921100335608,7.54644071247048
40,1,7.54803706897282,4.67259623326591,7.53814103078232
