#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,33496885102.52,23727077166.16,34494746252.67,15246050357.56
5,33496885102.52,23727077166.16,26607536368.94,12195209509.83
6,33496885102.52,23727077166.16,21304051955.56,10406977691.06
7,33496885102.52,23727077166.16,18278747105.44,10399748424.28
8,33496885102.52,23727077166.16,15681799723.22,10401125707.50
9,33496885102.52,23727077166.16,14066625651.28,10399507815.89
10,33496885102.52,23727077166.16,12264429579.33,6676386582.33
11,33496885102.52,23727077166.16,11078311484.78,6627614624.00
12,33496885102.52,23727077166.16,10138966466.22,6211143597.50
13,33496885102.52,23727077166.16,9631207557.56,6222392555.33
14,33496885102.52,23727077166.16,9081394870.44,6171094939.17
15,33496885102.52,23727077166.16,9003461943.83,6224428012.56
16,33496885102.52,23727077166.16,8992154431.28,6231005745.11
17,33496885102.52,23727077166.16,8760088626.67,6238274245.89
18,33496885102.52,23727077166.16,8637630338.83,6441060142.44
19,33496885102.52,23727077166.16,8737234568.56,6291579545.50
20,33496885102.52,23727077166.16,8677119723.56,6369834905.61
21,33496885102.52,23727077166.16,8471727937.56,6311684019.83
22,33496885102.52,23727077166.16,8374027667.61,6261579126.78
23,33496885102.52,23727077166.16,8124526937.33,6273122193.00
24,33496885102.52,23727077166.16,7970520766.22,6305831146.94
25,33496885102.52,23727077166.16,7980097652.00,6378942607.78
26,33496885102.52,23727077166.16,7655054859.33,6408232208.22
27,33496885102.52,23727077166.16,7581716004.56,6544205847.17
28,33496885102.52,23727077166.16,7507351718.67,6612368580.83
29,33496885102.52,23727077166.16,7584977382.11,6630251569.83
30,33496885102.52,23727077166.16,7365784325.06,6768341477.44
31,33496885102.52,23727077166.16,7321661028.06,6835094197.06
32,33496885102.52,23727077166.16,7287011352.61,6835114418.11
33,33496885102.52,23727077166.16,7245480405.61,6944433614.06
34,33496885102.52,23727077166.16,7227945127.78,6982835862.67
35,33496885102.52,23727077166.16,7179443569.17,7029864560.94
36,33496885102.52,23727077166.16,7175496594.50,7070847777.39
37,33496885102.52,23727077166.16,7330269502.39,7121218817.11
38,33496885102.52,23727077166.16,6965243716.44,7164021242.83
39,33496885102.52,23727077166.16,6835833164.33,7192495385.56
40,33496885102.52,23727077166.16,6747300728.00,7227293082.33
