#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,74081471334.43,53874024934.50,55695785278.28,26797423764.00
5,74081471334.43,53874024934.50,42091838655.50,19858433569.17
6,74081471334.43,53874024934.50,33661920807.00,17311667197.44
7,74081471334.43,53874024934.50,28374171834.44,15606172863.39
8,74081471334.43,53874024934.50,25581654990.89,14433102100.39
9,74081471334.43,53874024934.50,25065471631.94,13813351108.61
10,74081471334.43,53874024934.50,24617530234.72,14023052891.61
11,74081471334.43,53874024934.50,24319120712.00,14153370525.50
12,74081471334.43,53874024934.50,24067509419.89,14668697443.72
13,74081471334.43,53874024934.50,29902319984.61,22158236204.61
14,74081471334.43,53874024934.50,27563440315.94,17553266971.06
15,74081471334.43,53874024934.50,25617544765.67,16351223984.22
16,74081471334.43,53874024934.50,23973826812.06,15681259671.00
17,74081471334.43,53874024934.50,23311710773.33,15695802669.22
18,74081471334.43,53874024934.50,23214021662.28,15786633086.56
19,74081471334.43,53874024934.50,23462236540.06,16286836353.00
20,74081471334.43,53874024934.50,23903814333.28,17000640673.06
21,74081471334.43,53874024934.50,18298321632.72,15663111295.78
22,74081471334.43,53874024934.50,20017516266.94,15622945071.22
23,74081471334.43,53874024934.50,23124289554.61,15613463028.61
24,74081471334.43,53874024934.50,21969546519.22,15532149132.94
25,74081471334.43,53874024934.50,20780329244.50,15405749164.33
26,74081471334.43,53874024934.50,19716994686.22,15277165737.56
27,74081471334.43,53874024934.50,19343651536.17,15216082574.94
28,74081471334.43,53874024934.50,19405034148.89,15141487618.33
29,74081471334.43,53874024934.50,19671624087.11,15132838527.17
30,74081471334.43,53874024934.50,20116420607.83,15024758861.67
31,74081471334.43,53874024934.50,19758129299.17,14998666844.06
32,74081471334.43,53874024934.50,19381616296.28,15038923614.39
33,74081471334.43,53874024934.50,19359694031.06,15158498512.67
34,74081471334.43,53874024934.50,19270435013.67,15369633621.00
35,74081471334.43,53874024934.50,19326814527.72,15429189030.28
36,74081471334.43,53874024934.50,19379771810.94,15562463138.00
37,74081471334.43,53874024934.50,19452415973.56,15675749705.50
38,74081471334.43,53874024934.50,20321098616.33,15853331340.06
39,74081471334.43,53874024934.50,19614477842.00,15880710991.39
40,74081471334.43,53874024934.50,19040673330.83,15961938840.94
