#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,22174099664.47,16300141953.61,16312269215.78,7609524017.61
5,22174099664.47,16300141953.61,12319344218.11,6050129810.33
6,22174099664.47,16300141953.61,9844089016.33,6049211778.44
7,22174099664.47,16300141953.61,8302552003.28,6046590574.89
8,22174099664.47,16300141953.61,7319768315.78,6047585856.89
9,22174099664.47,16300141953.61,7045458817.11,6054191441.67
10,22174099664.47,16300141953.61,6612845555.67,6056752827.44
11,22174099664.47,16300141953.61,6253239560.94,6120952546.17
12,22174099664.47,16300141953.61,6048710215.44,6167661043.11
13,22174099664.47,16300141953.61,5832712490.33,6239563578.56
14,22174099664.47,16300141953.61,5726643152.78,6299264981.67
15,22174099664.47,16300141953.61,5570530387.83,6381718719.33
16,22174099664.47,16300141953.61,5496812495.06,6465928537.44
17,22174099664.47,16300141953.61,5484270856.11,6524371356.56
18,22174099664.47,16300141953.61,5510497273.11,6572895851.72
19,22174099664.47,16300141953.61,5132817055.50,6619963661.00
20,22174099664.47,16300141953.61,4940431187.44,6646362475.22
21,22174099664.47,16300141953.61,5072664165.44,6625199355.78
22,22174099664.47,16300141953.61,5432984876.50,6631407754.06
23,22174099664.47,16300141953.61,6226468124.78,6617466948.06
24,22174099664.47,16300141953.61,5881117577.00,6601132607.33
25,22174099664.47,16300141953.61,5625735471.50,6578688582.28
26,22174099664.47,16300141953.61,5361478507.78,6555651211.56
27,22174099664.47,16300141953.61,5221931645.50,6519257018.22
28,22174099664.47,16300141953.61,5219386420.33,6516160998.67
29,22174099664.47,16300141953.61,5215709641.33,6496003097.11
30,22174099664.47,16300141953.61,5244510316.83,6485715442.78
31,22174099664.47,16300141953.61,5222752570.94,6491897552.50
32,22174099664.47,16300141953.61,5155325035.17,6503061032.06
33,22174099664.47,16300141953.61,5143812588.33,6529177153.61
34,22174099664.47,16300141953.61,5101323639.28,6561156318.83
35,22174099664.47,16300141953.61,5129185324.22,6597465087.33
36,22174099664.47,16300141953.61,5112235051.89,6614079718.28
37,22174099664.47,16300141953.61,5177458026.89,6635009806.50
38,22174099664.47,16300141953.61,5330055923.61,6650031758.39
39,22174099664.47,16300141953.61,5129285633.33,6665251374.00
40,22174099664.47,16300141953.61,4886410697.00,6687037331.00
