#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,73104600913.33,60697382761.48,141594221344.67,48258747739.19
5,73104600913.33,60697382761.48,109528815895.08,39016853134.67
6,73104600913.33,60697382761.48,87790385986.19,35984435648.92
7,73104600913.33,60697382761.48,73211446649.50,34309465924.42
8,73104600913.33,60697382761.48,62904533827.36,31125377168.25
9,73104600913.33,60697382761.48,56836481060.42,26907019330.25
10,73104600913.33,60697382761.48,50668533947.47,24683371114.28
11,73104600913.33,60697382761.48,45677684471.92,23135579054.39
12,73104600913.33,60697382761.48,41857905068.97,20944951349.86
13,73104600913.33,60697382761.48,40169253358.75,21969087302.42
14,73104600913.33,60697382761.48,37381406602.22,21991300726.03
15,73104600913.33,60697382761.48,36986792389.83,22004922585.44
16,73104600913.33,60697382761.48,37805178296.67,22016583379.11
17,73104600913.33,60697382761.48,35348275048.86,22036458076.81
18,73104600913.33,60697382761.48,33831970508.33,19396377948.56
19,73104600913.33,60697382761.48,32176512687.69,18431381517.83
20,73104600913.33,60697382761.48,30674333389.94,18508758305.81
21,73104600913.33,60697382761.48,29449628983.86,19061274952.03
22,73104600913.33,60697382761.48,28395285031.50,19812209226.22
23,73104600913.33,60697382761.48,27567175072.64,20678469583.25
24,73104600913.33,60697382761.48,26743006899.86,17021895280.72
25,73104600913.33,60697382761.48,25942124622.69,17695999332.78
26,73104600913.33,60697382761.48,25344493769.19,18399215996.67
27,73104600913.33,60697382761.48,24873590778.11,18915988773.56
28,73104600913.33,60697382761.48,24287468794.69,19373552457.64
29,73104600913.33,60697382761.48,23691435318.89,19703256422.42
30,73104600913.33,60697382761.48,23429100245.08,20025447235.39
31,73104600913.33,60697382761.48,22530193994.17,20226184071.67
32,73104600913.33,60697382761.48,21633614671.92,20658141516.28
