#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,59151041779.04,48304477595.14,77099313387.97,28824168242.44
5,59151041779.04,48304477595.14,59759235616.56,25568254021.33
6,59151041779.04,48304477595.14,48051818375.89,19937412519.47
7,59151041779.04,48304477595.14,41872948326.81,19594518791.89
8,59151041779.04,48304477595.14,37822503611.97,17844277562.14
9,59151041779.04,48304477595.14,31183562525.22,13939693731.22
10,59151041779.04,48304477595.14,27836878269.06,13455307595.75
11,59151041779.04,48304477595.14,25289988719.42,13762308728.94
12,59151041779.04,48304477595.14,23381862603.00,14786957096.97
13,59151041779.04,48304477595.14,21708827553.42,15640748412.17
14,59151041779.04,48304477595.14,20479338731.86,16268247784.19
15,59151041779.04,48304477595.14,19157404444.22,16702828805.17
16,59151041779.04,48304477595.14,30426858580.25,17967884516.42
17,59151041779.04,48304477595.14,17969545388.03,17115154614.50
18,59151041779.04,48304477595.14,18190176217.75,17055605787.25
19,59151041779.04,48304477595.14,23648500219.75,16986743752.97
20,59151041779.04,48304477595.14,22475417168.92,16939324510.39
21,59151041779.04,48304477595.14,21739744044.06,16945174835.33
22,59151041779.04,48304477595.14,21072800439.42,16858558416.97
23,59151041779.04,48304477595.14,20617645365.53,16778279687.53
24,59151041779.04,48304477595.14,20509210645.86,16541894383.19
25,59151041779.04,48304477595.14,19688859165.86,16646232615.56
26,59151041779.04,48304477595.14,19063622722.14,16721212646.22
27,59151041779.04,48304477595.14,18536444690.81,16960349956.61
28,59151041779.04,48304477595.14,18124868511.03,17230044777.86
29,59151041779.04,48304477595.14,17866774941.06,17619762205.11
30,59151041779.04,48304477595.14,17366766153.11,17966295712.39
31,59151041779.04,48304477595.14,16708745223.36,18072036720.75
32,59151041779.04,48304477595.14,16039375982.58,18374872043.86
