#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,9190075020.00,1373342856.88,12010348710.44,1373159524.56
5,9190075020.00,1373342856.88,9269788774.28,1372417676.53
6,9190075020.00,1373342856.88,7447167959.11,1373889660.92
7,9190075020.00,1373342856.88,6530568295.11,1372459632.86
8,9190075020.00,1373342856.88,5911121610.06,1373005578.86
9,9190075020.00,1373342856.88,4831356015.42,1371700630.78
10,9190075020.00,1373342856.88,4330371445.92,1373400283.72
11,9190075020.00,1373342856.88,3926475985.19,1372397866.94
12,9190075020.00,1373342856.88,3620076910.94,1374092283.89
13,9190075020.00,1373342856.88,3374986206.22,1372782764.75
14,9190075020.00,1373342856.88,3187397732.19,1373196381.75
15,9190075020.00,1373342856.88,3115541688.42,1372707659.42
16,9190075020.00,1373342856.88,2794473821.42,1371378250.06
17,9190075020.00,1373342856.88,2811247147.47,1371859726.56
18,9190075020.00,1373342856.88,2849965976.31,1374288477.03
19,9190075020.00,1373342856.88,3562849598.22,1373414873.53
20,9190075020.00,1373342856.88,3457746287.22,1373131553.36
21,9190075020.00,1373342856.88,3319229644.42,1373904895.83
22,9190075020.00,1373342856.88,3171531719.64,1373017219.19
23,9190075020.00,1373342856.88,3070351030.53,1373923095.11
24,9190075020.00,1373342856.88,3187098188.61,1372628289.69
25,9190075020.00,1373342856.88,2911369233.67,1372678586.94
26,9190075020.00,1373342856.88,2819097878.25,1373853580.22
27,9190075020.00,1373342856.88,2740613695.19,1374387613.64
28,9190075020.00,1373342856.88,2688644193.22,1372884318.75
29,9190075020.00,1373342856.88,2580470667.11,1373307157.11
30,9190075020.00,1373342856.88,2519979242.28,1373769170.42
31,9190075020.00,1373342856.88,2438116504.47,1372783693.64
32,9190075020.00,1373342856.88,2343510568.72,1373932084.42
