#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,4716306612.48,656975914.21,5268158194.39,657825884.00
5,4716306612.48,656975914.21,4065052040.94,657412091.83
6,4716306612.48,656975914.21,3254469114.33,657993952.56
7,4716306612.48,656975914.21,2792931293.39,657327917.78
8,4716306612.48,656975914.21,2397872464.72,657303260.44
9,4716306612.48,656975914.21,2096946282.94,657644269.67
10,4716306612.48,656975914.21,1866307307.94,657546609.00
11,4716306612.48,656975914.21,1686065074.39,657308837.22
12,4716306612.48,656975914.21,1572174223.06,658020508.94
13,4716306612.48,656975914.21,1436415932.67,657273779.00
14,4716306612.48,656975914.21,1411145859.28,657391748.06
15,4716306612.48,656975914.21,1431379009.17,658156356.72
16,4716306612.48,656975914.21,1322188389.11,657797213.78
17,4716306612.48,656975914.21,1324288617.61,657743879.28
18,4716306612.48,656975914.21,1289319180.06,657412174.33
19,4716306612.48,656975914.21,1273778180.89,657980884.44
20,4716306612.48,656975914.21,1269489276.17,657944770.11
21,4716306612.48,656975914.21,1234208733.89,657898099.00
22,4716306612.48,656975914.21,1215733252.72,657728602.83
23,4716306612.48,656975914.21,1246114119.28,657983882.22
24,4716306612.48,656975914.21,1172702362.72,657268850.22
25,4716306612.48,656975914.21,1161576070.83,657179617.72
26,4716306612.48,656975914.21,1129035459.78,657323850.89
27,4716306612.48,656975914.21,1124093358.78,657215835.72
28,4716306612.48,656975914.21,1117164656.61,657667877.56
29,4716306612.48,656975914.21,1150246564.94,657753779.94
30,4716306612.48,656975914.21,1115253328.44,657267901.06
31,4716306612.48,656975914.21,1081344719.22,657735041.56
32,4716306612.48,656975914.21,1156230882.33,657356312.06
33,4716306612.48,656975914.21,1056703385.22,657942934.56
34,4716306612.48,656975914.21,1096038974.50,657442803.33
35,4716306612.48,656975914.21,1098238988.11,657656279.94
36,4716306612.48,656975914.21,1098089089.78,657828952.17
37,4716306612.48,656975914.21,1092320449.39,657191597.89
38,4716306612.48,656975914.21,1086400498.00,657208916.44
39,4716306612.48,656975914.21,1041916311.89,657386666.00
40,4716306612.48,656975914.21,981826169.22,658616578.22
