#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,57693432169.38,42341951029.49,44038600983.28,21577048599.00
5,57693432169.38,42341951029.49,33898402060.50,17050820344.83
6,57693432169.38,42341951029.49,26946353022.67,13137179313.44
7,57693432169.38,42341951029.49,22393148181.67,13135225290.28
8,57693432169.38,42341951029.49,19726907177.28,13148327157.22
9,57693432169.38,42341951029.49,18166035477.83,13156900156.50
10,57693432169.38,42341951029.49,17283234060.56,13163047639.89
11,57693432169.38,42341951029.49,16765958548.72,13173655651.83
12,57693432169.38,42341951029.49,16377910999.94,13236467987.28
13,57693432169.38,42341951029.49,21872336051.44,13545426597.78
14,57693432169.38,42341951029.49,20317474957.94,13224939637.22
15,57693432169.38,42341951029.49,19026477349.89,13236506512.50
16,57693432169.38,42341951029.49,17905497385.00,13225208557.94
17,57693432169.38,42341951029.49,17005944794.94,13218669579.33
18,57693432169.38,42341951029.49,16686821583.72,13220812481.33
19,57693432169.38,42341951029.49,16842930040.89,13239044147.67
20,57693432169.38,42341951029.49,17150159440.11,13234692977.44
21,57693432169.38,42341951029.49,12312422014.67,14718584271.06
22,57693432169.38,42341951029.49,12604983410.61,14710315962.61
23,57693432169.38,42341951029.49,15789072110.94,14769465943.61
24,57693432169.38,42341951029.49,15251520281.67,14652025055.00
25,57693432169.38,42341951029.49,14731295645.22,14544705934.22
26,57693432169.38,42341951029.49,14271188870.44,14443546025.67
27,57693432169.38,42341951029.49,13868673684.39,14378409178.94
28,57693432169.38,42341951029.49,13740533588.61,14360687827.67
29,57693432169.38,42341951029.49,13902405459.11,14337410714.94
30,57693432169.38,42341951029.49,14182071716.72,14325825814.00
31,57693432169.38,42341951029.49,14054351613.78,14328726182.89
32,57693432169.38,42341951029.49,13987338626.00,14340271844.28
33,57693432169.38,42341951029.49,13893894379.72,14383469464.33
34,57693432169.38,42341951029.49,13889642964.50,14498768845.83
35,57693432169.38,42341951029.49,13906232932.00,14596218423.89
36,57693432169.38,42341951029.49,13893455595.56,14676704947.83
37,57693432169.38,42341951029.49,13884661201.39,14746569281.44
38,57693432169.38,42341951029.49,14047823959.28,14809535042.44
39,57693432169.38,42341951029.49,13603966933.11,14888006432.44
40,57693432169.38,42341951029.49,13862788183.11,14954627355.67
