#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,2623242836.86,398164098.79,2228901482.22,398913529.22
5,2623242836.86,398164098.79,1684832300.33,399177135.17
6,2623242836.86,398164098.79,1347846290.22,399698271.89
7,2623242836.86,398164098.79,1137363743.17,398906633.50
8,2623242836.86,398164098.79,997192102.39,398920872.83
9,2623242836.86,398164098.79,922465034.06,399711838.83
10,2623242836.86,398164098.79,870556204.06,399664959.50
11,2623242836.86,398164098.79,811175500.94,399293751.44
12,2623242836.86,398164098.79,774556569.56,399369053.17
13,2623242836.86,398164098.79,753196284.17,399336141.00
14,2623242836.86,398164098.79,738933544.00,399462871.44
15,2623242836.86,398164098.79,718059302.33,398757295.50
16,2623242836.86,398164098.79,696141176.94,398817893.72
17,2623242836.86,398164098.79,685474733.78,399465667.56
18,2623242836.86,398164098.79,680768715.72,398688002.22
19,2623242836.86,398164098.79,658712395.94,399454476.33
20,2623242836.86,398164098.79,632377864.67,399581007.11
21,2623242836.86,398164098.79,647955319.56,399693142.39
22,2623242836.86,398164098.79,653192929.06,400125453.50
23,2623242836.86,398164098.79,779082475.83,400078653.44
24,2623242836.86,398164098.79,750053756.44,399405807.78
25,2623242836.86,398164098.79,727832235.50,399309765.67
26,2623242836.86,398164098.79,689056647.94,400170348.72
27,2623242836.86,398164098.79,665129420.11,399332686.61
28,2623242836.86,398164098.79,651372957.44,400223490.94
29,2623242836.86,398164098.79,655314990.94,399391407.28
30,2623242836.86,398164098.79,660527623.39,399259915.39
31,2623242836.86,398164098.79,648067888.56,400680554.44
32,2623242836.86,398164098.79,714670205.94,399193719.50
33,2623242836.86,398164098.79,650384192.56,399327222.00
34,2623242836.86,398164098.79,647384777.50,399311288.28
35,2623242836.86,398164098.79,643439749.89,400073431.06
36,2623242836.86,398164098.79,641607691.50,400088764.17
37,2623242836.86,398164098.79,634177191.56,400017622.83
38,2623242836.86,398164098.79,649514120.28,399316774.61
39,2623242836.86,398164098.79,602094868.67,400254232.78
40,2623242836.86,398164098.79,618846760.28,400176369.78
