#size,Seq,2GB,4GB
1000,30139089.91,13606764.87,13735330.42
3000,454282891.04,78321421.87,78301886.19
5000,1137163352.34,208713714.14,208787393.83
7000,2330547050.09,405527187.31,405446672.08
9000,4030660348.48,668134378.63,668249888.80
11000,6467450564.22,983102083.68,983291032.58
13000,9190075020.00,1373868646.40,1373665408.77
15000,11990013343.53,1830212659.59,1830713825.14
17000,15472609095.28,6903925028.41,2353995634.11
19000,19428108759.66,7394505783.80,2940909606.66
21000,24451950092.77,7742980770.67,3596020072.70
23000,30465635635.82,8581155368.62,13248025660.23
25000,33745443430.50,9233697649.17,13856160285.68
27000,39506122112.29,9693113349.37,14650559241.01
29000,46005523419.53,11550329982.53,15659777259.48
31000,52084097864.97,15499965559.86,16421774540.67
33000,59151041779.04,18586486582.21,17427040673.70
35000,66246448595.10,19769993127.13,18501514268.06
37000,73104600913.33,20820418222.59,19769505336.19
39000,81346061895.76,22556118839.01,27009326121.66
41000,90898294689.07,28648420746.64,25506839557.93
43000,100954118911.18,32275918449.58,30217742209.17
45000,110743041584.49,33618566180.91,37352409359.87
47000,120523439654.14,35939599760.91,39024449536.89
49000,131188297455.88,45602828214.72,41292104441.83
