#size,Seq,2GB,4GB
1000,1,2.21500776988145,2.19427483638213
3000,1,5.80023804718498,5.80168515912477
5000,1,5.44843618458737,5.44651346750325
7000,1,5.7469563645025,5.7480976181996
9000,1,6.03270910373571,6.03166632128888
11000,1,6.57861545772611,6.57735131301913
13000,1,6.68919481064009,6.69018449567637
15000,1,6.55115856657662,6.54936515957817
17000,1,2.2411322590569,6.57291325059313
19000,1,2.6273708247309,6.60615637953067
21000,1,3.15795051246836,6.7997256963059
23000,1,3.55029530722964,2.29963591686545
25000,1,3.6545969678283,2.4354108739183
27000,1,4.07568968693198,2.69656068839366
29000,1,3.98304840546667,2.93781467368442
31000,1,3.36027184472276,3.17164857768441
33000,1,3.1824756936933,3.39421034738891
35000,1,3.35085845347064,3.58059603312926
37000,1,3.51119752407337,3.69784674275612
39000,1,3.60638558771356,3.01177680366208
41000,1,3.17289024386208,3.56368316359327
43000,1,3.12784651097957,3.34088887953197
45000,1,3.2941036506005,2.96481655353317
47000,1,3.35349977339559,3.08840844866264
49000,1,2.8767579247099,3.17707947389048
