#size,Seq,G0.5M_2GB,G2000_2GB,G0.5M_4GB,G2000_4GB
1000,30139089.91,13606764.87,13606764.87,13735330.42,13735330.42
3000,454282891.04,78321421.87,78321421.87,78301886.19,78301886.19
5000,1137163352.34,208713714.14,208713714.14,208787393.83,208787393.83
7000,2330547050.09,405527187.31,405527187.31,405446672.08,405446672.08
9000,4030660348.48,668134378.63,668134378.63,668249888.80,668249888.80
11000,6467450564.22,983102083.68,983102083.68,983291032.58,983291032.58
13000,9190075020.00,1373868646.40,1373868646.40,1373665408.77,1373665408.77
15000,11990013343.53,1830212659.59,1830212659.59,1830713825.14,1830713825.14
17000,15472609095.28,6903925028.41,4739262614.93,2353995634.11,2353995634.11
19000,19428108759.66,7394505783.80,5523123942.21,2940909606.66,2940909606.66
21000,24451950092.77,7742980770.67,6355766228.84,3596020072.70,3596020072.70
23000,30465635635.82,8581155368.62,7289575534.28,13248025660.23,13248025660.23
25000,33745443430.50,9233697649.17,8248466612.93,13856160285.68,13856160285.68
27000,39506122112.29,9693113349.37,11797501052.50,14650559241.01,14650559241.01
29000,46005523419.53,11550329982.53,13792544432.01,15659777259.48,15659777259.48
31000,52084097864.97,15499965559.86,15244238132.38,16421774540.67,16421774540.67
33000,59151041779.04,18586486582.21,16832617691.12,17427040673.70,17427040673.70
35000,66246448595.10,19769993127.13,18558205068.26,18501514268.06,18501514268.06
37000,73104600913.33,20820418222.59,20129338337.88,19769505336.19,19769505336.19
39000,81346061895.76,22556118839.01,25577383179.80,27009326121.66,27009326121.66
41000,90898294689.07,28648420746.64,25592376652.51,25506839557.93,25506839557.93
43000,100954118911.18,32275918449.58,30965054277.38,30217742209.17,30217742209.17
45000,110743041584.49,33618566180.91,34601140715.53,37352409359.87,37352409359.87
47000,120523439654.14,35939599760.91,37438542749.57,39024449536.89,39024449536.89
49000,131188297455.88,45602828214.72,39822764724.43,41292104441.83,41292104441.83
