#size,Seq,G0.5M_2GB,G2000_2GB,G0.5M_4GB,G2000_4GB
1000,1,2.21500776988145,2.21500776988145,2.19427483638213,2.20054224326995
3000,1,5.80023804718498,5.80023804718498,5.80168515912477,5.80119459436599
5000,1,5.44843618458737,5.44843618458737,5.44651346750325,5.44800082473701
7000,1,5.7469563645025,5.7469563645025,5.7480976181996,5.75052801708468
9000,1,6.03270910373571,6.03270910373571,6.03166632128888,6.03236585684701
11000,1,6.57861545772611,6.57861545772611,6.57735131301913,6.57714064253398
13000,1,6.68919481064009,6.68919481064009,6.69018449567637,6.6872997732048
15000,1,6.55115856657662,6.55115856657662,6.54936515957817,6.54520335557772
17000,1,2.2411322590569,3.26477141117628,6.57291325059313,6.57593660082258
19000,1,2.6273708247309,3.51759420265447,6.60615637953067,6.60302032715534
21000,1,3.15795051246836,3.84720727798586,6.7997256963059,6.79828036376585
23000,1,3.55029530722964,4.17934288389662,2.29963591686545,4.17629625583616
25000,1,3.6545969678283,4.09111717535497,2.4354108739183,4.09483701713151
27000,1,4.07568968693198,3.34868561880046,2.69656068839366,3.35194685527874
29000,1,3.98304840546667,3.3355356327698,2.93781467368442,3.34341990541886
31000,1,3.36027184472276,3.4166415804237,3.17164857768441,3.41691789796072
33000,1,3.1824756936933,3.51407266917521,3.39421034738891,3.5157986240075
35000,1,3.35085845347064,3.56965818361394,3.58059603312926,3.57478927272865
37000,1,3.51119752407337,3.63174385994395,3.69784674275612,3.6497130180607
39000,1,3.60638558771356,3.18039032077386,3.01177680366208,3.18489648509964
41000,1,3.17289024386208,3.5517723079523,3.56368316359327,3.55167665545506
43000,1,3.12784651097957,3.26025971105522,3.34088887953197,3.27147324939753
45000,1,3.2941036506005,3.20056042356966,2.96481655353317,3.20112377395327
47000,1,3.35349977339559,3.21923426508165,3.08840844866264,3.21300287084616
49000,1,2.8767579247099,3.29430410881041,3.17707947389048,3.29818836956716
