#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,44920026.27,13748064.74,30449175.49,93106340.99,14420557.90
3000,404966307.08,96020119.80,277961988.81,755156761.61,97392802.22
5000,1098777638.17,265617204.83,761941892.57,2115162683.68,266724741.43
7000,2158667975.20,519212525.49,1490236865.72,4098014556.17,519698276.00
9000,3682762013.81,857059681.22,2484772883.94,6748946839.07,861587428.13
11000,5641970175.76,1264171004.17,3777711550.83,10050422042.52,1271119232.06
13000,8036622748.44,1776775266.39,5146814050.46,14033172895.58,1778872981.88
15000,10861853895.46,2373421343.47,7075252770.66,18667636558.54,2376260365.76
17000,13819556685.88,24083467629.17,8870935465.87,24017454730.77,10378885629.32
19000,17368161613.42,29964548111.19,11433381551.68,29982091446.84,10410516738.08
21000,21799118581.78,36686631333.94,13804962655.13,36580549770.12,10411460833.52
23000,25944393507.38,43958784432.47,17155401565.08,43878401661.90,14976413182.94
25000,29366240083.22,51999537593.81,20964684771.83,51827538943.06,15885773157.53
27000,34442384885.83,60486283827.25,24418499587.71,60577957779.01,22688918125.13
29000,39520986772.27,69768690963.00,28570692592.61,69752179430.78,22746896928.62
31000,45251478220.93,79791455985.64,33428294379.19,79861665545.78,23961706350.33
33000,50841974820.11,90522572736.14,39210338126.33,90371753424.97,37452836826.17
35000,59103247689.41,101734665629.06,45127901785.43,101688164674.74,37148895166.46
