#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,1,3.26737087142928,1.47524606322271,0.482459366272643,3.11499919639031
3000,1,4.21751511999259,1.45691253978188,0.536267868696042,4.15807223787672
5000,1,4.13669603545914,1.44207537199965,0.519476656168274,4.11951899279792
7000,1,4.15758070004722,1.4485401783139,0.526759469887654,4.15369470111538
9000,1,4.29697265488874,1.48213224541086,0.545679511429887,4.27439154004732
11000,1,4.462980211656,1.49348887543317,0.561366493057774,4.43858454302238
13000,1,4.52315095806606,1.56147524850285,0.572687503263875,4.51781708435782
15000,1,4.57645412406198,1.53518951867027,0.581854797815365,4.57098643396598
17000,1,0.573819223156291,1.55784660355712,0.575396387368852,1.33150678978871
19000,1,0.579623678921225,1.51907478421097,0.579284525371246,1.66832848458809
21000,1,0.594197880512756,1.57907841740371,0.595921021383504,2.09376176219163
23000,1,0.590198155893871,1.51231630509834,0.591279365809438,1.73235027576121
25000,1,0.56474040812847,1.40074799134014,0.566614596835922,1.84858739905273
27000,1,0.569424714274035,1.41050373558436,0.568562991368523,1.5180267607243
29000,1,0.566457335328664,1.38327016904352,0.566591425454877,1.73742321408882
31000,1,0.567121851104884,1.35368791801416,0.566623271774741,1.88849147716506
33000,1,0.561649688948931,1.29664719177643,0.562587013013097,1.35749329366112
35000,1,0.580954852743207,1.3096830419998,0.581220517436398,1.59098265034734
