#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,1,2.42168378902372,2.35177422494819,0.501422329715184,2.19764628067764
3000,1,5.85435080263378,3.52982702124078,0.965407751093205,5.81750025142267
5000,1,5.46977837919742,3.26787725210351,0.875477769108203,5.46160845297489
7000,1,5.75684558468476,3.10771858026847,0.920480286444934,5.75972856802966
9000,1,6.04128397655484,3.47825219132916,0.96539566763106,6.04344101626605
11000,1,6.58286157356007,3.79732298814221,1.03854648810598,6.58674784700806
13000,1,6.69175579423646,3.90236457361964,1.05664375303459,6.69763245909963
15000,1,6.55330475327318,3.79802061292142,1.03673048362268,6.56084918315543
17000,1,1.18772764659769,3.79887300850547,1.1487426778605,4.26438217957839
19000,1,1.19194971333056,3.81127696603221,1.15511899438305,4.10538557623857
21000,1,1.22939054907954,3.95712174267938,1.18967590087574,4.3687099411307
23000,1,1.2843456408014,4.06129491451159,1.27833945357437,4.21490503717584
25000,1,1.21771299448448,3.83742601500971,1.19915631786443,4.22065210479196
27000,1,1.21289229686135,3.68942419945007,1.20216160500071,4.01617925117419
29000,1,1.24269426653511,3.80440235173864,1.23396194004044,4.18352972679811
31000,1,1.23127637816849,3.718717866222,1.21559513946764,4.25224135698405
33000,1,1.22454573000063,3.68301827091466,1.23411506283616,4.13183885717792
35000,1,1.23066533208595,3.58548916098904,1.22907600463299,4.22789085595327
37000,1,1.20441108969403,3.46357667105593,1.19496690598628,4.18976612942018
39000,1,1.19234372006348,3.37080271082187,1.20826754294244,4.23009468311694
41000,1,1.20951615442158,3.31052575027781,1.22573699892147,4.27020241157688
43000,1,1.2085974700525,3.26973674259777,1.21310685601264,4.2812016237673
45000,1,1.24233929044771,3.23784632404798,1.24245034383899,4.11314574983507
47000,1,1.22201842562815,2.93653847034035,1.2397553070343,4.22760397415141
49000,1,1.23190133099029,2.69666322166843,1.22436319711886,3.91288271572428
