#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,23359771.28,12489721.81,7336950.24,60511414.02,13698933.36
3000,484250749.94,76525722.40,111896373.89,472039392.49,77170311.83
5000,1289574296.14,204501761.01,304551797.76,1299988079.57,205157261.92
7000,2623242836.86,398164098.79,617057782.93,2533219835.06,398790970.17
9000,4716306612.48,656975914.21,1003153504.97,4178315727.59,657486655.47
11000,7330793085.29,966926248.94,1508401321.63,6239276434.94,967611184.92
13000,10188190213.76,1349780097.88,2156851067.67,8706762019.80,1350433696.72
15000,13576412013.08,1798335088.84,2973577792.68,11587154762.32,1799242032.53
17000,17340140070.98,13049934088.59,3803679538.98,13487158230.64,3902549675.56
19000,22174099664.47,16300141953.61,4934074989.20,16837083942.10,4322603952.67
21000,27830553802.61,19923586766.38,5875581848.90,20578887501.04,4884848042.89
23000,33496885102.52,23727077166.16,6838053460.28,23868547356.21,5555690918.11
25000,38880344360.63,27756464367.10,8723176645.84,28182204869.86,6312096164.47
27000,44290264461.49,32582120850.57,10798884884.03,32909531320.96,9794143779.31
29000,50657911125.67,37058352361.48,12008338288.26,37328197925.49,9539403734.44
31000,57693432169.38,42341951029.49,13879541932.79,42809124744.36,10333984351.42
33000,65808193536.69,48309904392.89,16795416286.63,47939227556.59,11148516522.03
35000,74081471334.43,53874024934.50,19017893913.46,53929593953.08,15785419192.03
37000,81818279170.31,60716163501.50,22192219080.99,61124511355.87,14296115962.28
39000,91335187126.42,68237660206.70,23677508422.92,67264945415.31,16025574476.39
41000,102488118753.16,75172634060.27,28666093846.39,74075819042.61,20625412970.22
43000,117061815878.58,83544973477.79,31913324852.76,83155656902.17,20410408367.28
45000,126097887565.36,89184270287.87,34525548411.69,89109789523.19,21697877280.39
47000,137428194536.53,98637946328.37,39987411489.48,97182656433.52,23893099070.64
49000,146304209446.36,106531043217.62,39554084148.43,107067408486.60,31458535418.92
