#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,39643682.38,7660143.18,19887128.28,43570679.10,7991480.42
3000,389775353.91,56413482.81,221425689.51,368960200.81,57451968.73
5000,1079383469.98,152047296.38,620179819.72,1018624728.48,154469300.19
7000,2080241760.26,295065472.14,1220988368.70,1991930237.50,301857179.78
9000,3645422649.68,487208000.78,2035335221.88,3289178874.71,497054355.60
11000,5465117189.24,715060188.86,3033574417.42,4910888011.07,728655145.34
13000,7601884282.90,1011377644.63,4248310246.57,6856851954.32,1017700951.02
15000,10133250035.20,1335291705.39,5700424505.63,9127063909.94,1355282989.90
17000,12921915116.62,11851368570.78,7494711690.67,11837070528.56,5628440632.64
19000,16491970371.92,14796341489.97,9442146541.07,14784082163.86,7108763356.17
21000,20484811854.28,18076127136.33,11786331376.06,18059366482.08,8766347228.08
23000,25596821163.17,21966300412.41,14393291223.74,21939396991.40,10415852110.91
25000,29359591908.93,25948615722.28,17353139949.47,25907331756.46,12839237445.29
27000,33662040957.49,30275346877.20,20404545825.11,30247264486.59,14384425430.86
29000,38024207287.21,35362522021.07,23935290110.58,35328376673.81,16890791289.69
31000,44326004937.84,40396035494.37,27841903598.94,40338921751.84,19939768009.20
33000,49720503196.21,46309941645.71,31836972976.53,46257790019.04,22554248272.40
35000,55487280141.31,52089735404.67,37016572179.19,52040784433.03,25720795156.22
