#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,1,5.17531871773708,1.99343423654931,0.909870656112863,4.84869273205285
3000,1,6.90925882422043,1.76029870234365,1.05641571382036,6.82478720586264
5000,1,7.09899811228725,1.74043629872917,1.05964781710205,7.0638389506822
7000,1,7.05010228805418,1.70373593523651,1.04433464641354,7.03217871611463
9000,1,7.4822717275657,1.79106744210558,1.10830781436337,7.47006177708423
11000,1,7.64287716528154,1.80154380187844,1.11285722193637,7.58851947349583
13000,1,7.51636574454941,1.78939009669494,1.10865515743134,7.49047955860244
15000,1,7.58879126882644,1.77763077560135,1.11024203787641,7.49394284709864
17000,1,1.09033104821999,1.72413771869386,1.09164806321315,2.10288978495188
19000,1,1.11459784725159,1.74663359652233,1.11552209931807,2.17517030873036
21000,1,1.13325225585015,1.73801424723965,1.13430401197111,2.27583443969021
23000,1,1.16527684146161,1.77838555235728,1.16670577469397,2.36546273788649
25000,1,1.13145118117886,1.69188930616714,1.1332541762665,2.27599388933507
27000,1,1.11186309752376,1.64973242952878,1.11289538174316,2.16124646688192
29000,1,1.07526853612291,1.58862529392958,1.07630779750485,2.0829389033571
31000,1,1.09728601817913,1.59206085820682,1.09883960732833,2.12467138427902
33000,1,1.07364642297743,1.56172206550113,1.07485686574617,2.0356399166553
35000,1,1.06522484152099,1.4989848296246,1.06622682086422,1.90112304482357
