#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,1,2.42168378902372,2.35177422494819,0.501422329715184,2.21500776988145
3000,1,5.85435080263378,3.52982702124078,0.965407751093205,5.80023804718498
5000,1,5.46977837919742,3.26787725210351,0.875477769108203,5.44843618458737
7000,1,5.75684558468476,3.10771858026847,0.920480286444934,5.7469563645025
9000,1,6.04128397655484,3.47825219132916,0.96539566763106,6.03270910373571
11000,1,6.58286157356007,3.79732298814221,1.03854648810598,6.57861545772611
13000,1,6.69175579423646,3.90236457361964,1.05664375303459,6.68919481064009
15000,1,6.55330475327318,3.79802061292142,1.03673048362268,6.55115856657662
17000,1,1.18772764659769,3.79887300850547,1.1487426778605,2.2411322590569
19000,1,1.19194971333056,3.81127696603221,1.15511899438305,2.6273708247309
21000,1,1.22939054907954,3.95712174267938,1.18967590087574,3.15795051246836
23000,1,1.2843456408014,4.06129491451159,1.27833945357437,3.55029530722964
25000,1,1.21771299448448,3.83742601500971,1.19915631786443,3.6545969678283
27000,1,1.21289229686135,3.68942419945007,1.20216160500071,4.07568968693198
29000,1,1.24269426653511,3.80440235173864,1.23396194004044,3.98304840546667
31000,1,1.23127637816849,3.718717866222,1.21559513946764,3.36027184472276
33000,1,1.22454573000063,3.68301827091466,1.23411506283616,3.1824756936933
35000,1,1.23066533208595,3.58548916098904,1.22907600463299,3.35085845347064
37000,1,1.20441108969403,3.46357667105593,1.19496690598628,3.51119752407337
39000,1,1.19234372006348,3.37080271082187,1.20826754294244,3.60638558771356
41000,1,1.20951615442158,3.31052575027781,1.22573699892147,3.17289024386208
43000,1,1.2085974700525,3.26973674259777,1.21310685601264,3.12784651097957
45000,1,1.24233929044771,3.23784632404798,1.24245034383899,3.2941036506005
47000,1,1.22201842562815,2.93653847034035,1.2397553070343,3.35349977339559
49000,1,1.23190133099029,2.69666322166843,1.22436319711886,2.8767579247099
