#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,1,1.87031958240229,3.18385303373681,0.386039091274238,1.67337380557405
3000,1,6.32794745025497,4.32767151521857,1.02586936099885,6.23561240580786
5000,1,6.30593247594059,4.23433486725381,0.991989323907151,6.26104590215413
7000,1,6.58834597300937,4.25121100394189,1.03553698757371,6.55704230077175
9000,1,7.17881205455037,4.70148047045008,1.12875783448761,7.1527511784518
11000,1,7.58154315629184,4.85997524675213,1.17494282577984,7.55584269406624
13000,1,7.54803706897282,4.72364103691503,1.17014685718883,7.52489745182331
15000,1,7.54943397219555,4.56568247398834,1.17167780111377,7.52663877162052
17000,1,1.32875307670259,4.55878048959665,1.28567781102967,2.68846676302977
19000,1,1.36036236540622,4.49407431241033,1.31697981317449,3.31755618355529
21000,1,1.39686463732387,4.73664643235637,1.35238378659699,4.10829728546469
23000,1,1.41175775119465,4.89859947675057,1.40339018552819,4.65344430816479
25000,1,1.40076718152602,4.45713137990524,1.37960619263723,5.25455829466113
27000,1,1.35934258744594,4.10137388601937,1.34581875474117,4.29173509379668
29000,1,1.36697688638543,4.21856129546216,1.35709500969715,5.08485897985561
31000,1,1.36255960735485,4.15672451214553,1.34769006640298,3.86327029771553
33000,1,1.36220914455743,3.91822342558289,1.3727420505265,4.23598586889931
35000,1,1.37508700017306,3.89535621933397,1.37367011142125,4.63966259539004
37000,1,1.34755350884923,3.68680026416989,1.33855105513989,4.86117794671216
39000,1,1.33848650217131,3.85746614445323,1.35784228415699,3.66456532322795
41000,1,1.36337006191628,3.57523837403004,1.38355701061107,4.27672459196111
43000,1,1.40118323108571,3.66811720241227,1.40774326413294,4.44997795298115
45000,1,1.41390277857676,3.6523065777766,1.41508456298782,4.74082363769219
47000,1,1.39325887908316,3.43678646397717,1.41412263854447,4.25052561169891
49000,1,1.37334813428506,3.69883951546802,1.36646820460468,3.97287083925691
